2	其他罐	带娃党注意！a2至初这波活动太实在了	pure_a2_protein_fact_candidate
3	其他罐	带娃宝妈看过来！这个活动太实在了😍	pure_a2_protein_fact_candidate
4	其他罐	带娃日常｜这个活动我直接冲了	pure_a2_protein_fact_candidate
5	其他罐	a2至初这活动太香了！	fabricated_reward_child_experience
6	其他罐	带娃党看过来，这个活动真不错	fabricated_reward_child_experience
12	其他罐	带娃党快看！这波活动真香	positive_expression_stacking
14	其他罐	a2至初会员升级！集罐换推车太香啦😍	pure_a2_protein_fact_candidate
17	其他罐	刚发现这个活动，感觉赚到了！	positive_expression_stacking,pure_a2_protein_fact_candidate
21	其他罐	宝妈速看！这活动我冲了	positive_expression_stacking
22	其他罐	集罐换自行车？a2这个活动太香了🚲	positive_expression_stacking
24	其他罐	集6罐换自行车，a2至初活动真香！	positive_expression_stacking
34	其他罐	集罐换小车车，我冲了🚗	positive_expression_stacking
36	其他罐	好家伙！a2至初这波升级太走心了🥹	pure_a2_protein_fact_candidate
41	其他罐	带娃遛弯发现的好活动！a2至初真香	pure_a2_protein_fact_candidate
42	12罐	集罐兑换太香了！a2至初必囤	pure_a2_protein_fact_candidate
43	12罐	集罐福利太香了，必须晒一下	pure_a2_protein_fact_candidate
45	12罐	集罐换奶粉，这波活动太实在了	pure_a2_protein_fact_candidate
47	12罐	这个会员升级活动真的香😭	positive_expression_stacking,pure_a2_protein_fact_candidate
50	12罐	新活动太实在了！a2至初集罐真香	positive_expression_stacking
55	12罐	a2至初集罐活动也太香了吧😊	pure_a2_protein_fact_candidate
57	12罐	集罐换正装！a2至初这波也太香了吧😍	positive_expression_stacking
59	12罐	带娃党看过来！a2至初礼遇真香	pure_a2_protein_fact_candidate
60	12罐	好家伙这个活动也太香了	pure_a2_protein_fact_candidate
61	12罐	这个新活动我直接冲了！a2至初真香	positive_expression_stacking
62	12罐	a2至初活动太香了，新手宝妈看过来	pure_a2_protein_fact_candidate
64	12罐	第一次参加活动就真香了😍	positive_expression_stacking,pure_a2_protein_fact_candidate
65	12罐	a2至初这波活动，让我彻底路转粉	positive_expression_stacking
70	12罐	a2至初这波活动太对味了	positive_expression_stacking
73	12罐	a2至初新活动太给力了，集罐福利冲！😍	pure_a2_protein_fact_candidate
76	12罐	a2至初集罐活动真香！宝妈快冲～	pure_a2_protein_fact_candidate
77	12罐	a2至初新活动太给力了！😍	pure_a2_protein_fact_candidate
79	12罐	这活动也太实在了吧！集罐送一罐😲	pure_a2_protein_fact_candidate
82	12罐	集罐活动真香！a2至初太可了	positive_expression_stacking
85	12罐	姐妹们，a2至初新活动我冲了！	pure_a2_protein_fact_candidate
87	12罐	宝爸发现的宝藏活动🥰	positive_expression_stacking
103	12罐	a2至初新活动真香，集罐好实在😊	positive_expression_stacking
105	12罐	a2至初这波集罐礼也太实在了吧😍	positive_expression_stacking
108	12罐	a2至初礼遇活动，集罐太香啦👍	positive_expression_stacking
109	12罐	带娃党冲！a2至初这波集罐太实在了	pure_a2_protein_fact_candidate
110	12罐	第一次参加a2活动，真香了🥰	pure_a2_protein_fact_candidate
117	12罐	带娃喝a2至初大半年，这活动真香了🤔	positive_expression_stacking
119	12罐	a2至初这波活动也太香了吧！	pure_a2_protein_fact_candidate
123	12罐	居然才发现a2至初这个活动！	pure_a2_protein_fact_candidate
129	12罐	集罐活动太香了！a2至初真贴心🎉	positive_expression_stacking
132	12罐	a2至初这个活动也太实在了	positive_expression_stacking
141	12罐	带娃党的快乐！集罐换奶粉太香了	positive_expression_stacking
142	12罐	哎哟，a2至初这波活动真香！	positive_expression_stacking
151	12罐	a2至初活动这波我服了😍	pure_a2_protein_fact_candidate
152	12罐	原来a2至初活动这么多福利！😲	pure_a2_protein_fact_candidate
153	12罐	礼遇活动真香！a2至初囤起来	pure_a2_protein_fact_candidate
162	12罐	娃的口粮囤起来！a2至初活动真香	pure_a2_protein_fact_candidate
164	12罐	a2至初这活动也太香了吧😱	pure_a2_protein_fact_candidate
